øŒ≥Ã√˚≥∆, ±º‰, ”∆µ±‡∫≈,«È–˜±Í«©
cut_result80321_0846,00:00:00,0,Delate-…æ≥˝µƒ
cut_result80321_0846,00:00:10,1,Delate-…æ≥˝µƒ
cut_result80321_0846,00:00:20,2,Delate-…æ≥˝µƒ
cut_result80321_0846,00:00:30,3,Delate-…æ≥˝µƒ
cut_result80321_0846,00:00:40,4,Delate-…æ≥˝µƒ
cut_result80321_0846,00:00:50,5,Delate-…æ≥˝µƒ
cut_result80321_0846,00:01:00,6,Delate-…æ≥˝µƒ
cut_result80321_0846,00:01:10,7,Delate-…æ≥˝µƒ
cut_result80321_0846,00:01:20,8,Delate-…æ≥˝µƒ
cut_result80321_0846,00:01:30,9,Delate-…æ≥˝µƒ
cut_result80321_0846,00:01:40,10,Delate-…æ≥˝µƒ
cut_result80321_0846,00:01:50,11,Delate-…æ≥˝µƒ
cut_result80321_0846,00:02:00,12,happy-œ≤‘√
cut_result80321_0846,00:02:10,13,happy-œ≤‘√
cut_result80321_0846,00:02:20,14,TS- ¶…˙ª•∂Ø
cut_result80321_0846,00:02:30,15,TS- ¶…˙ª•∂Ø
cut_result80321_0846,00:02:40,16,Delate-…æ≥˝µƒ
cut_result80321_0846,00:02:50,17,Delate-…æ≥˝µƒ
cut_result80321_0846,00:03:00,18,Delate-…æ≥˝µƒ
cut_result80321_0846,00:03:10,19,happy-œ≤‘√
cut_result80321_0846,00:03:20,20,happy-œ≤‘√
cut_result80321_0846,00:03:30,21,surprised-æ™—»
cut_result80321_0846,00:03:40,22,happy-œ≤‘√
cut_result80321_0846,00:03:50,23,happy-œ≤‘√
cut_result80321_0846,00:04:00,24,happy-œ≤‘√
cut_result80321_0846,00:04:10,25,happy-œ≤‘√
cut_result80321_0846,00:04:20,26,happy-œ≤‘√
cut_result80321_0846,00:04:30,27,TS- ¶…˙ª•∂Ø
cut_result80321_0846,00:04:40,28,happy-œ≤‘√
cut_result80321_0846,00:04:50,29,happy-œ≤‘√
cut_result80321_0846,00:05:00,30,happy-œ≤‘√
cut_result80321_0846,00:05:10,31,happy-œ≤‘√
cut_result80321_0846,00:05:20,32,happy-œ≤‘√
cut_result80321_0846,00:05:30,33,happy-œ≤‘√
cut_result80321_0846,00:05:40,34,happy-œ≤‘√
cut_result80321_0846,00:05:50,35,happy-œ≤‘√
cut_result80321_0846,00:06:00,36,happy-œ≤‘√
cut_result80321_0846,00:06:10,37,happy-œ≤‘√
cut_result80321_0846,00:06:20,38,TS- ¶…˙ª•∂Ø
cut_result80321_0846,00:06:30,39,surprised-æ™—»
cut_result80321_0846,00:06:40,40,happy-œ≤‘√
cut_result80321_0846,00:06:50,41,happy-œ≤‘√
cut_result80321_0846,00:07:00,42,happy-œ≤‘√
cut_result80321_0846,00:07:10,43,happy-œ≤‘√
cut_result80321_0846,00:07:20,44,happy-œ≤‘√
cut_result80321_0846,00:07:30,45,happy-œ≤‘√
cut_result80321_0846,00:07:40,46,happy-œ≤‘√
cut_result80321_0846,00:07:50,47,happy-œ≤‘√
cut_result80321_0846,00:08:00,48,happy-œ≤‘√
cut_result80321_0846,00:08:10,49,happy-œ≤‘√
cut_result80321_0846,00:08:20,50,happy-œ≤‘√
cut_result80321_0846,00:08:30,51,happy-œ≤‘√
cut_result80321_0846,00:08:40,52,happy-œ≤‘√
cut_result80321_0846,00:08:50,53,happy-œ≤‘√
cut_result80321_0846,00:09:00,54,angry-∑ﬂ≈≠
cut_result80321_0846,00:09:10,55,happy-œ≤‘√
cut_result80321_0846,00:09:20,56,happy-œ≤‘√
cut_result80321_0846,00:09:30,57,happy-œ≤‘√
cut_result80321_0846,00:09:40,58,happy-œ≤‘√
cut_result80321_0846,00:09:50,59,happy-œ≤‘√
cut_result80321_0846,00:10:00,60,TS- ¶…˙ª•∂Ø
cut_result80321_0846,00:10:10,61,TS- ¶…˙ª•∂Ø
cut_result80321_0846,00:10:20,62,happy-œ≤‘√
cut_result80321_0846,00:10:30,63,happy-œ≤‘√
cut_result80321_0846,00:10:40,64,happy-œ≤‘√
cut_result80321_0846,00:10:50,65,Delate-…æ≥˝µƒ
cut_result80321_0846,00:11:00,66,happy-œ≤‘√
cut_result80321_0846,00:11:10,67,happy-œ≤‘√
cut_result80321_0846,00:11:20,68,surprised-æ™—»
cut_result80321_0846,00:11:30,69,happy-œ≤‘√
cut_result80321_0846,00:11:40,70,happy-œ≤‘√
cut_result80321_0846,00:11:50,71,TS- ¶…˙ª•∂Ø
cut_result80321_0846,00:12:00,72,happy-œ≤‘√
cut_result80321_0846,00:12:10,73,happy-œ≤‘√
cut_result80321_0846,00:12:20,74,happy-œ≤‘√
cut_result80321_0846,00:12:30,75,happy-œ≤‘√
cut_result80321_0846,00:12:40,76,happy-œ≤‘√
cut_result80321_0846,00:12:50,77,happy-œ≤‘√
cut_result80321_0846,00:13:00,78,happy-œ≤‘√
cut_result80321_0846,00:13:10,79,happy-œ≤‘√
cut_result80321_0846,00:13:20,80,happy-œ≤‘√
cut_result80321_0846,00:13:30,81,happy-œ≤‘√
cut_result80321_0846,00:13:40,82,happy-œ≤‘√
cut_result80321_0846,00:13:50,83,happy-œ≤‘√
cut_result80321_0846,00:14:00,84,happy-œ≤‘√
cut_result80321_0846,00:14:10,85,happy-œ≤‘√
cut_result80321_0846,00:14:20,86,happy-œ≤‘√
cut_result80321_0846,00:14:30,87,happy-œ≤‘√
cut_result80321_0846,00:14:40,88,happy-œ≤‘√
cut_result80321_0846,00:14:50,89,happy-œ≤‘√
cut_result80321_0846,00:15:00,90,happy-œ≤‘√
cut_result80321_0846,00:15:10,91,Delate-…æ≥˝µƒ
cut_result80321_0846,00:15:20,92,happy-œ≤‘√
cut_result80321_0846,00:15:30,93,Delate-…æ≥˝µƒ
cut_result80321_0846,00:15:40,94,happy-œ≤‘√
cut_result80321_0846,00:15:50,95,happy-œ≤‘√
cut_result80321_0846,00:16:00,96,happy-œ≤‘√
cut_result80321_0846,00:16:10,97,happy-œ≤‘√
cut_result80321_0846,00:16:20,98,happy-œ≤‘√
cut_result80321_0846,00:16:30,99,surprised-æ™—»
cut_result80321_0846,00:16:40,100,happy-œ≤‘√
cut_result80321_0846,00:16:50,101,happy-œ≤‘√
cut_result80321_0846,00:17:00,102,happy-œ≤‘√
cut_result80321_0846,00:17:10,103,happy-œ≤‘√
cut_result80321_0846,00:17:20,104,happy-œ≤‘√
cut_result80321_0846,00:17:30,105,happy-œ≤‘√
