课程名称,时间,视频编号,情绪标签
cut_result80917_0755,00:00:00,0,happy-喜悦
cut_result80917_0755,00:00:10,1,Delate-删除的
cut_result80917_0755,00:00:20,2,Delate-删除的
cut_result80917_0755,00:00:30,3,Delate-删除的
cut_result80917_0755,00:00:40,4,Delate-删除的
cut_result80917_0755,00:00:50,5,Delate-删除的
cut_result80917_0755,00:01:00,6,TS-师生互动
cut_result80917_0755,00:01:10,7,happy-喜悦
cut_result80917_0755,00:01:20,8,surprised-惊讶
cut_result80917_0755,00:01:30,9,Delate-删除的
cut_result80917_0755,00:01:40,10,TS-师生互动
cut_result80917_0755,00:01:50,11,Delate-删除的
cut_result80917_0755,00:02:00,12,Delate-删除的
cut_result80917_0755,00:02:10,13,Delate-删除的
cut_result80917_0755,00:02:20,14,Delate-删除的
cut_result80917_0755,00:02:30,15,TS-师生互动
cut_result80917_0755,00:02:40,16,happy-喜悦
cut_result80917_0755,00:02:50,17,TS-师生互动
cut_result80917_0755,00:03:00,18,TS-师生互动
cut_result80917_0755,00:03:10,19,TS-师生互动
cut_result80917_0755,00:03:20,20,TS-师生互动
cut_result80917_0755,00:03:30,21,happy-喜悦
cut_result80917_0755,00:03:40,22,TS-师生互动
cut_result80917_0755,00:03:50,23,TS-师生互动
cut_result80917_0755,00:04:00,24,happy-喜悦
cut_result80917_0755,00:04:10,25,happy-喜悦
cut_result80917_0755,00:04:20,26,TS-师生互动
cut_result80917_0755,00:04:30,27,happy-喜悦
cut_result80917_0755,00:04:40,28,happy-喜悦
cut_result80917_0755,00:04:50,29,happy-喜悦
cut_result80917_0755,00:05:00,30,Delate-删除的
cut_result80917_0755,00:05:10,31,Delate-删除的
cut_result80917_0755,00:05:20,32,Delate-删除的
cut_result80917_0755,00:05:30,33,TS-师生互动
cut_result80917_0755,00:05:40,34,TS-师生互动
cut_result80917_0755,00:05:50,35,happy-喜悦
cut_result80917_0755,00:06:00,36,happy-喜悦
cut_result80917_0755,00:06:10,37,happy-喜悦
cut_result80917_0755,00:06:20,38,TS-师生互动
cut_result80917_0755,00:06:30,39,TS-师生互动
cut_result80917_0755,00:06:40,40,TS-师生互动
cut_result80917_0755,00:06:50,41,TS-师生互动
cut_result80917_0755,00:07:00,42,TS-师生互动
cut_result80917_0755,00:07:10,43,TS-师生互动
cut_result80917_0755,00:07:20,44,TS-师生互动
cut_result80917_0755,00:07:30,45,happy-喜悦
cut_result80917_0755,00:07:40,46,happy-喜悦
cut_result80917_0755,00:07:50,47,happy-喜悦
cut_result80917_0755,00:08:00,48,happy-喜悦
cut_result80917_0755,00:08:10,49,happy-喜悦
cut_result80917_0755,00:08:20,50,TS-师生互动
cut_result80917_0755,00:08:30,51,TS-师生互动
