¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéÐ÷±êÇ©
cut_resultc5_20180918_math_4,00:00:00,0,Delate-É¾³ýµÄ
cut_resultc5_20180918_math_4,00:00:10,1,Delate-É¾³ýµÄ
cut_resultc5_20180918_math_4,00:00:20,2,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:00:30,3,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:00:40,4,Delate-É¾³ýµÄ
cut_resultc5_20180918_math_4,00:00:50,5,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:01:00,6,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:01:10,7,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:01:20,8,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:01:30,9,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:01:40,10,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:01:50,11,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:02:00,12,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:02:10,13,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:02:20,14,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:02:30,15,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:02:40,16,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:02:50,17,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:03:00,18,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:03:10,19,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:03:20,20,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:03:30,21,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:03:40,22,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:03:50,23,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:04:00,24,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:04:10,25,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:04:20,26,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:04:30,27,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:04:40,28,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:04:50,29,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:05:00,30,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:05:10,31,disgust-Ñá¶ñÃïÊÓ
cut_resultc5_20180918_math_4,00:05:20,32,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:05:30,33,Delate-É¾³ýµÄ
cut_resultc5_20180918_math_4,00:05:40,34,Delate-É¾³ýµÄ
cut_resultc5_20180918_math_4,00:05:50,35,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:06:00,36,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:06:10,37,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:06:20,38,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:06:30,39,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:06:40,40,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:06:50,41,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:07:00,42,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:07:10,43,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:07:20,44,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:07:30,45,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:07:40,46,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:07:50,47,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:08:00,48,TS-Ê¦Éú»¥¶¯
cut_resultc5_20180918_math_4,00:08:10,49,fear-¿Ö¾åµ£ÓÇ
cut_resultc5_20180918_math_4,00:08:20,50,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:08:30,51,surprised-¾ªÑÈ
cut_resultc5_20180918_math_4,00:08:40,52,Delate-É¾³ýµÄ
cut_resultc5_20180918_math_4,00:08:50,53,Delate-É¾³ýµÄ
cut_resultc5_20180918_math_4,00:09:00,54,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:09:10,55,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:09:20,56,surprised-¾ªÑÈ
cut_resultc5_20180918_math_4,00:09:30,57,Delate-É¾³ýµÄ
cut_resultc5_20180918_math_4,00:09:40,58,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:09:50,59,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:10:00,60,surprised-¾ªÑÈ
cut_resultc5_20180918_math_4,00:10:10,61,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:10:20,62,surprised-¾ªÑÈ
cut_resultc5_20180918_math_4,00:10:30,63,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:10:40,64,surprised-¾ªÑÈ
cut_resultc5_20180918_math_4,00:10:50,65,angry-·ßÅ­
cut_resultc5_20180918_math_4,00:11:00,66,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:11:10,67,happy-Ï²ÔÃ
cut_resultc5_20180918_math_4,00:11:20,68,surprised-¾ªÑÈ
cut_resultc5_20180918_math_4,00:11:30,69,disgust-Ñá¶ñÃïÊÓ
cut_resultc5_20180918_math_4,00:11:40,70,angry-·ßÅ­
cut_resultc5_20180918_math_4,00:11:50,71,angry-·ßÅ­
cut_resultc5_20180918_math_4,00:12:00,72,happy-Ï²ÔÃ
