¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéÐ÷±êÇ©
cut_result81022_0954,00:00:00,0,TS-Ê¦Éú»¥¶¯
cut_result81022_0954,00:00:10,1,TS-Ê¦Éú»¥¶¯
cut_result81022_0954,00:00:20,2,Delate-É¾³ýµÄ
cut_result81022_0954,00:00:30,3,Delate-É¾³ýµÄ
cut_result81022_0954,00:00:40,4,Delate-É¾³ýµÄ
cut_result81022_0954,00:00:50,5,TS-Ê¦Éú»¥¶¯
cut_result81022_0954,00:01:00,6,TS-Ê¦Éú»¥¶¯
cut_result81022_0954,00:01:10,7,Delate-É¾³ýµÄ
cut_result81022_0954,00:01:20,8,Delate-É¾³ýµÄ
cut_result81022_0954,00:01:30,9,Delate-É¾³ýµÄ
cut_result81022_0954,00:01:40,10,Delate-É¾³ýµÄ
cut_result81022_0954,00:01:50,11,Delate-É¾³ýµÄ
cut_result81022_0954,00:02:00,12,Delate-É¾³ýµÄ
cut_result81022_0954,00:02:10,13,Delate-É¾³ýµÄ
cut_result81022_0954,00:02:20,14,Delate-É¾³ýµÄ
cut_result81022_0954,00:02:30,15,Delate-É¾³ýµÄ
cut_result81022_0954,00:02:40,16,Delate-É¾³ýµÄ
cut_result81022_0954,00:02:50,17,happy-Ï²ÔÃ
cut_result81022_0954,00:03:00,18,TS-Ê¦Éú»¥¶¯
cut_result81022_0954,00:03:10,19,TS-Ê¦Éú»¥¶¯
cut_result81022_0954,00:03:20,20,happy-Ï²ÔÃ
cut_result81022_0954,00:03:30,21,happy-Ï²ÔÃ
cut_result81022_0954,00:03:40,22,Delate-É¾³ýµÄ
cut_result81022_0954,00:03:50,23,Delate-É¾³ýµÄ
cut_result81022_0954,00:04:00,24,Delate-É¾³ýµÄ
cut_result81022_0954,00:04:10,25,Delate-É¾³ýµÄ
cut_result81022_0954,00:04:20,26,Delate-É¾³ýµÄ
cut_result81022_0954,00:04:30,27,Delate-É¾³ýµÄ
cut_result81022_0954,00:04:40,28,Delate-É¾³ýµÄ
cut_result81022_0954,00:04:50,29,Delate-É¾³ýµÄ
cut_result81022_0954,00:05:00,30,Delate-É¾³ýµÄ
cut_result81022_0954,00:05:10,31,happy-Ï²ÔÃ
cut_result81022_0954,00:05:20,32,happy-Ï²ÔÃ
cut_result81022_0954,00:05:30,33,happy-Ï²ÔÃ
cut_result81022_0954,00:05:40,34,Delate-É¾³ýµÄ
cut_result81022_0954,00:05:50,35,Delate-É¾³ýµÄ
cut_result81022_0954,00:06:00,36,Delate-É¾³ýµÄ
cut_result81022_0954,00:06:10,37,Delate-É¾³ýµÄ
cut_result81022_0954,00:06:20,38,Delate-É¾³ýµÄ
cut_result81022_0954,00:06:30,39,Delate-É¾³ýµÄ
cut_result81022_0954,00:06:40,40,Delate-É¾³ýµÄ
cut_result81022_0954,00:06:50,41,surprised-¾ªÑÈ
cut_result81022_0954,00:07:00,42,surprised-¾ªÑÈ
cut_result81022_0954,00:07:10,43,happy-Ï²ÔÃ
cut_result81022_0954,00:07:20,44,happy-Ï²ÔÃ
cut_result81022_0954,00:07:30,45,Delate-É¾³ýµÄ
cut_result81022_0954,00:07:40,46,Delate-É¾³ýµÄ
cut_result81022_0954,00:07:50,47,Delate-É¾³ýµÄ
cut_result81022_0954,00:08:00,48,Delate-É¾³ýµÄ
cut_result81022_0954,00:08:10,49,Delate-É¾³ýµÄ
cut_result81022_0954,00:08:20,50,happy-Ï²ÔÃ
cut_result81022_0954,00:08:30,51,fear-¿Ö¾åµ£ÓÇ
cut_result81022_0954,00:08:40,52,TS-Ê¦Éú»¥¶¯
