课程名称,时间,视频编号,情绪标签
cut_result0181120_j2c14_math_2,00:00:00,0,Delate-删除的
cut_result0181120_j2c14_math_2,00:00:10,1,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:00:20,2,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:00:30,3,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:00:40,4,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:00:50,5,Delate-删除的
cut_result0181120_j2c14_math_2,00:01:00,6,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:01:10,7,Delate-删除的
cut_result0181120_j2c14_math_2,00:01:20,8,Delate-删除的
cut_result0181120_j2c14_math_2,00:01:30,9,Delate-删除的
cut_result0181120_j2c14_math_2,00:01:40,10,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:01:50,11,Delate-删除的
cut_result0181120_j2c14_math_2,00:02:00,12,Delate-删除的
cut_result0181120_j2c14_math_2,00:02:10,13,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:02:20,14,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:02:30,15,TS-师生互动
cut_result0181120_j2c14_math_2,00:02:40,16,happy-喜悦
cut_result0181120_j2c14_math_2,00:02:50,17,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:03:00,18,Delate-删除的
cut_result0181120_j2c14_math_2,00:03:10,19,Delate-删除的
cut_result0181120_j2c14_math_2,00:03:20,20,Delate-删除的
cut_result0181120_j2c14_math_2,00:03:30,21,TS-师生互动
cut_result0181120_j2c14_math_2,00:03:40,22,happy-喜悦
cut_result0181120_j2c14_math_2,00:03:50,23,happy-喜悦
cut_result0181120_j2c14_math_2,00:04:00,24,TS-师生互动
cut_result0181120_j2c14_math_2,00:04:10,25,Delate-删除的
cut_result0181120_j2c14_math_2,00:04:20,26,TS-师生互动
cut_result0181120_j2c14_math_2,00:04:30,27,happy-喜悦
cut_result0181120_j2c14_math_2,00:04:40,28,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:04:50,29,happy-喜悦
cut_result0181120_j2c14_math_2,00:05:00,30,TS-师生互动
cut_result0181120_j2c14_math_2,00:05:10,31,Delate-删除的
cut_result0181120_j2c14_math_2,00:05:20,32,happy-喜悦
cut_result0181120_j2c14_math_2,00:05:30,33,Delate-删除的
cut_result0181120_j2c14_math_2,00:05:40,34,happy-喜悦
cut_result0181120_j2c14_math_2,00:05:50,35,happy-喜悦
cut_result0181120_j2c14_math_2,00:06:00,36,happy-喜悦
cut_result0181120_j2c14_math_2,00:06:10,37,happy-喜悦
cut_result0181120_j2c14_math_2,00:06:20,38,happy-喜悦
cut_result0181120_j2c14_math_2,00:06:30,39,happy-喜悦
cut_result0181120_j2c14_math_2,00:06:40,40,happy-喜悦
cut_result0181120_j2c14_math_2,00:06:50,41,happy-喜悦
cut_result0181120_j2c14_math_2,00:07:00,42,happy-喜悦
cut_result0181120_j2c14_math_2,00:07:10,43,happy-喜悦
cut_result0181120_j2c14_math_2,00:07:20,44,happy-喜悦
cut_result0181120_j2c14_math_2,00:07:30,45,happy-喜悦
cut_result0181120_j2c14_math_2,00:07:40,46,happy-喜悦
cut_result0181120_j2c14_math_2,00:07:50,47,happy-喜悦
cut_result0181120_j2c14_math_2,00:08:00,48,happy-喜悦
cut_result0181120_j2c14_math_2,00:08:10,49,happy-喜悦
cut_result0181120_j2c14_math_2,00:08:20,50,happy-喜悦
cut_result0181120_j2c14_math_2,00:08:30,51,happy-喜悦
cut_result0181120_j2c14_math_2,00:08:40,52,happy-喜悦
cut_result0181120_j2c14_math_2,00:08:50,53,angry-愤怒
cut_result0181120_j2c14_math_2,00:09:00,54,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:09:10,55,angry-愤怒
cut_result0181120_j2c14_math_2,00:09:20,56,happy-喜悦
cut_result0181120_j2c14_math_2,00:09:30,57,TS-师生互动
cut_result0181120_j2c14_math_2,00:09:40,58,Delate-删除的
cut_result0181120_j2c14_math_2,00:09:50,59,Delate-删除的
cut_result0181120_j2c14_math_2,00:10:00,60,Delate-删除的
cut_result0181120_j2c14_math_2,00:10:10,61,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:10:20,62,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:10:30,63,Delate-删除的
cut_result0181120_j2c14_math_2,00:10:40,64,Delate-删除的
cut_result0181120_j2c14_math_2,00:10:50,65,TS-师生互动
cut_result0181120_j2c14_math_2,00:11:00,66,sad-悲伤
cut_result0181120_j2c14_math_2,00:11:10,67,TS-师生互动
cut_result0181120_j2c14_math_2,00:11:20,68,happy-喜悦
cut_result0181120_j2c14_math_2,00:11:30,69,TS-师生互动
cut_result0181120_j2c14_math_2,00:11:40,70,Delate-删除的
cut_result0181120_j2c14_math_2,00:11:50,71,TS-师生互动
cut_result0181120_j2c14_math_2,00:12:00,72,disgust-厌恶蔑视
cut_result0181120_j2c14_math_2,00:12:10,73,Delate-删除的
cut_result0181120_j2c14_math_2,00:12:20,74,Delate-删除的
cut_result0181120_j2c14_math_2,00:12:30,75,TS-师生互动
