¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéÐ÷±êÇ©
"cut_result0181123_j2c14_math_3,4",00:00:00,0,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:00:10,1,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:00:20,2,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:00:30,3,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:00:40,4,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:00:50,5,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:01:00,6,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:01:10,7,disgust-Ñá¶ñÃïÊÓ
"cut_result0181123_j2c14_math_3,4",00:01:20,8,disgust-Ñá¶ñÃïÊÓ
"cut_result0181123_j2c14_math_3,4",00:01:30,9,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:01:40,10,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:01:50,11,disgust-Ñá¶ñÃïÊÓ
"cut_result0181123_j2c14_math_3,4",00:02:00,12,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:02:10,13,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:02:20,14,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:02:30,15,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:02:40,16,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:02:50,17,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:03:00,18,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:03:10,19,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:03:20,20,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:03:30,21,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:03:40,22,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:03:50,23,fear-¿Ö¾åµ£ÓÇ
"cut_result0181123_j2c14_math_3,4",00:04:00,24,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:04:10,25,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:04:20,26,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:04:30,27,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:04:40,28,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:04:50,29,fear-¿Ö¾åµ£ÓÇ
"cut_result0181123_j2c14_math_3,4",00:05:00,30,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:05:10,31,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:05:20,32,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:05:30,33,fear-¿Ö¾åµ£ÓÇ
"cut_result0181123_j2c14_math_3,4",00:05:40,34,fear-¿Ö¾åµ£ÓÇ
"cut_result0181123_j2c14_math_3,4",00:05:50,35,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:06:00,36,sad-±¯ÉË
"cut_result0181123_j2c14_math_3,4",00:06:10,37,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:06:20,38,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:06:30,39,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:06:40,40,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:06:50,41,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:07:00,42,disgust-Ñá¶ñÃïÊÓ
"cut_result0181123_j2c14_math_3,4",00:07:10,43,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:07:20,44,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:07:30,45,fear-¿Ö¾åµ£ÓÇ
"cut_result0181123_j2c14_math_3,4",00:07:40,46,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:07:50,47,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:08:00,48,fear-¿Ö¾åµ£ÓÇ
"cut_result0181123_j2c14_math_3,4",00:08:10,49,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:08:20,50,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:08:30,51,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:08:40,52,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:08:50,53,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:09:00,54,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:09:10,55,Delate-É¾³ýµÄ
"cut_result0181123_j2c14_math_3,4",00:09:20,56,fear-¿Ö¾åµ£ÓÇ
"cut_result0181123_j2c14_math_3,4",00:09:30,57,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:09:40,58,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:09:50,59,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:10:00,60,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:10:10,61,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:10:20,62,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:10:30,63,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:10:40,64,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:10:50,65,surprised-¾ªÑÈ
"cut_result0181123_j2c14_math_3,4",00:11:00,66,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:11:10,67,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:11:20,68,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:11:30,69,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:11:40,70,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:11:50,71,fear-¿Ö¾åµ£ÓÇ
"cut_result0181123_j2c14_math_3,4",00:12:00,72,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:12:10,73,TS-Ê¦Éú»¥¶¯
"cut_result0181123_j2c14_math_3,4",00:12:20,74,happy-Ï²ÔÃ
"cut_result0181123_j2c14_math_3,4",00:12:30,75,happy-Ï²ÔÃ
