¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéÐ÷±êÇ©
"cut_result2c14_20180921_math_3,4",00:00:00,0,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:00:10,1,disgust-Ñá¶ñÃïÊÓ
"cut_result2c14_20180921_math_3,4",00:00:20,2,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:00:30,3,TS-Ê¦Éú»¥¶¯
"cut_result2c14_20180921_math_3,4",00:00:40,4,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:00:50,5,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:01:00,6,disgust-Ñá¶ñÃïÊÓ
"cut_result2c14_20180921_math_3,4",00:01:10,7,TS-Ê¦Éú»¥¶¯
"cut_result2c14_20180921_math_3,4",00:01:20,8,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:01:30,9,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:01:40,10,happy-Ï²ÔÃ
"cut_result2c14_20180921_math_3,4",00:01:50,11,disgust-Ñá¶ñÃïÊÓ
"cut_result2c14_20180921_math_3,4",00:02:00,12,disgust-Ñá¶ñÃïÊÓ
"cut_result2c14_20180921_math_3,4",00:02:10,13,happy-Ï²ÔÃ
"cut_result2c14_20180921_math_3,4",00:02:20,14,happy-Ï²ÔÃ
"cut_result2c14_20180921_math_3,4",00:02:30,15,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:02:40,16,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:02:50,17,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:03:00,18,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:03:10,19,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:03:20,20,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:03:30,21,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:03:40,22,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:03:50,23,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:04:00,24,TS-Ê¦Éú»¥¶¯
"cut_result2c14_20180921_math_3,4",00:04:10,25,TS-Ê¦Éú»¥¶¯
"cut_result2c14_20180921_math_3,4",00:04:20,26,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:04:30,27,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:04:40,28,happy-Ï²ÔÃ
"cut_result2c14_20180921_math_3,4",00:04:50,29,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:05:00,30,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:05:10,31,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:05:20,32,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:05:30,33,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:05:40,34,happy-Ï²ÔÃ
"cut_result2c14_20180921_math_3,4",00:05:50,35,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:06:00,36,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:06:10,37,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:06:20,38,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:06:30,39,surprised-¾ªÑÈ
"cut_result2c14_20180921_math_3,4",00:06:40,40,happy-Ï²ÔÃ
"cut_result2c14_20180921_math_3,4",00:06:50,41,happy-Ï²ÔÃ
"cut_result2c14_20180921_math_3,4",00:07:00,42,Delate-É¾³ýµÄ
"cut_result2c14_20180921_math_3,4",00:07:10,43,Delate-É¾³ýµÄ
