课程名称,时间,视频编号,情绪标签
cut_result80320_1302,00:00:00,0,Delate-删除的
cut_result80320_1302,00:00:10,1,surprised-惊讶
cut_result80320_1302,00:00:20,2,TS-师生互动
cut_result80320_1302,00:00:30,3,TS-师生互动
cut_result80320_1302,00:00:40,4,angry-愤怒
cut_result80320_1302,00:00:50,5,happy-喜悦
cut_result80320_1302,00:01:00,6,TS-师生互动
cut_result80320_1302,00:01:10,7,happy-喜悦
cut_result80320_1302,00:01:20,8,happy-喜悦
cut_result80320_1302,00:01:30,9,happy-喜悦
cut_result80320_1302,00:01:40,10,happy-喜悦
cut_result80320_1302,00:01:50,11,happy-喜悦
cut_result80320_1302,00:02:00,12,happy-喜悦
cut_result80320_1302,00:02:10,13,disgust-厌恶蔑视
cut_result80320_1302,00:02:20,14,happy-喜悦
cut_result80320_1302,00:02:30,15,happy-喜悦
cut_result80320_1302,00:02:40,16,happy-喜悦
cut_result80320_1302,00:02:50,17,TS-师生互动
cut_result80320_1302,00:03:00,18,TS-师生互动
cut_result80320_1302,00:03:10,19,happy-喜悦
cut_result80320_1302,00:03:20,20,TS-师生互动
cut_result80320_1302,00:03:30,21,surprised-惊讶
cut_result80320_1302,00:03:40,22,Delate-删除的
cut_result80320_1302,00:03:50,23,Delate-删除的
cut_result80320_1302,00:04:00,24,happy-喜悦
cut_result80320_1302,00:04:10,25,TS-师生互动
cut_result80320_1302,00:04:20,26,Delate-删除的
cut_result80320_1302,00:04:30,27,Delate-删除的
cut_result80320_1302,00:04:40,28,happy-喜悦
cut_result80320_1302,00:04:50,29,happy-喜悦
cut_result80320_1302,00:05:00,30,Delate-删除的
cut_result80320_1302,00:05:10,31,TS-师生互动
cut_result80320_1302,00:05:20,32,TS-师生互动
cut_result80320_1302,00:05:30,33,TS-师生互动
cut_result80320_1302,00:05:40,34,happy-喜悦
cut_result80320_1302,00:05:50,35,happy-喜悦
cut_result80320_1302,00:06:00,36,Delate-删除的
cut_result80320_1302,00:06:10,37,happy-喜悦
cut_result80320_1302,00:06:20,38,surprised-惊讶
cut_result80320_1302,00:06:30,39,Delate-删除的
cut_result80320_1302,00:06:40,40,fear-恐惧担忧
cut_result80320_1302,00:06:50,41,happy-喜悦
cut_result80320_1302,00:07:00,42,happy-喜悦
cut_result80320_1302,00:07:10,43,happy-喜悦
cut_result80320_1302,00:07:20,44,happy-喜悦
cut_result80320_1302,00:07:30,45,happy-喜悦
cut_result80320_1302,00:07:40,46,happy-喜悦
cut_result80320_1302,00:07:50,47,happy-喜悦
cut_result80320_1302,00:08:00,48,happy-喜悦
cut_result80320_1302,00:08:10,49,TS-师生互动
cut_result80320_1302,00:08:20,50,happy-喜悦
cut_result80320_1302,00:08:30,51,happy-喜悦
cut_result80320_1302,00:08:40,52,happy-喜悦
cut_result80320_1302,00:08:50,53,happy-喜悦
cut_result80320_1302,00:09:00,54,TS-师生互动
cut_result80320_1302,00:09:10,55,TS-师生互动
cut_result80320_1302,00:09:20,56,happy-喜悦
cut_result80320_1302,00:09:30,57,TS-师生互动
cut_result80320_1302,00:09:40,58,happy-喜悦
cut_result80320_1302,00:09:50,59,surprised-惊讶
cut_result80320_1302,00:10:00,60,happy-喜悦
cut_result80320_1302,00:10:10,61,Delate-删除的
cut_result80320_1302,00:10:20,62,TS-师生互动
cut_result80320_1302,00:10:30,63,happy-喜悦
cut_result80320_1302,00:10:40,64,happy-喜悦
cut_result80320_1302,00:10:50,65,surprised-惊讶
cut_result80320_1302,00:11:00,66,surprised-惊讶
cut_result80320_1302,00:11:10,67,TS-师生互动
cut_result80320_1302,00:11:20,68,happy-喜悦
cut_result80320_1302,00:11:30,69,happy-喜悦
cut_result80320_1302,00:11:40,70,TS-师生互动
cut_result80320_1302,00:11:50,71,surprised-惊讶
cut_result80320_1302,00:12:00,72,happy-喜悦
