课程名称,时间,视频编号,情绪标签
cut_result1c2_20180613_math_3-4,00:00:00,0,happy-喜悦
cut_result1c2_20180613_math_3-4,00:00:10,1,TS-师生互动
cut_result1c2_20180613_math_3-4,00:00:20,2,angry-愤怒
cut_result1c2_20180613_math_3-4,00:00:30,3,Delate-删除的
cut_result1c2_20180613_math_3-4,00:00:40,4,happy-喜悦
cut_result1c2_20180613_math_3-4,00:00:50,5,Delate-删除的
cut_result1c2_20180613_math_3-4,00:01:00,6,angry-愤怒
cut_result1c2_20180613_math_3-4,00:01:10,7,Delate-删除的
cut_result1c2_20180613_math_3-4,00:01:20,8,Delate-删除的
cut_result1c2_20180613_math_3-4,00:01:30,9,Delate-删除的
cut_result1c2_20180613_math_3-4,00:01:40,10,TS-师生互动
cut_result1c2_20180613_math_3-4,00:01:50,11,happy-喜悦
cut_result1c2_20180613_math_3-4,00:02:00,12,happy-喜悦
cut_result1c2_20180613_math_3-4,00:02:10,13,happy-喜悦
cut_result1c2_20180613_math_3-4,00:02:20,14,TS-师生互动
cut_result1c2_20180613_math_3-4,00:02:30,15,happy-喜悦
cut_result1c2_20180613_math_3-4,00:02:40,16,happy-喜悦
cut_result1c2_20180613_math_3-4,00:02:50,17,happy-喜悦
cut_result1c2_20180613_math_3-4,00:03:00,18,happy-喜悦
cut_result1c2_20180613_math_3-4,00:03:10,19,happy-喜悦
cut_result1c2_20180613_math_3-4,00:03:20,20,happy-喜悦
cut_result1c2_20180613_math_3-4,00:03:30,21,Delate-删除的
cut_result1c2_20180613_math_3-4,00:03:40,22,happy-喜悦
cut_result1c2_20180613_math_3-4,00:03:50,23,angry-愤怒
cut_result1c2_20180613_math_3-4,00:04:00,24,happy-喜悦
cut_result1c2_20180613_math_3-4,00:04:10,25,angry-愤怒
cut_result1c2_20180613_math_3-4,00:04:20,26,Delate-删除的
cut_result1c2_20180613_math_3-4,00:04:30,27,disgust-厌恶蔑视
cut_result1c2_20180613_math_3-4,00:04:40,28,TS-师生互动
cut_result1c2_20180613_math_3-4,00:04:50,29,Delate-删除的
cut_result1c2_20180613_math_3-4,00:05:00,30,angry-愤怒
cut_result1c2_20180613_math_3-4,00:05:10,31,surprised-惊讶
cut_result1c2_20180613_math_3-4,00:05:20,32,happy-喜悦
cut_result1c2_20180613_math_3-4,00:05:30,33,happy-喜悦
cut_result1c2_20180613_math_3-4,00:05:40,34,TS-师生互动
cut_result1c2_20180613_math_3-4,00:05:50,35,surprised-惊讶
cut_result1c2_20180613_math_3-4,00:06:00,36,TS-师生互动
cut_result1c2_20180613_math_3-4,00:06:10,37,happy-喜悦
cut_result1c2_20180613_math_3-4,00:06:20,38,Delate-删除的
cut_result1c2_20180613_math_3-4,00:06:30,39,happy-喜悦
cut_result1c2_20180613_math_3-4,00:06:40,40,sad-悲伤
cut_result1c2_20180613_math_3-4,00:06:50,41,fear-恐惧担忧
cut_result1c2_20180613_math_3-4,00:07:00,42,surprised-惊讶
cut_result1c2_20180613_math_3-4,00:07:10,43,TS-师生互动
cut_result1c2_20180613_math_3-4,00:07:20,44,Delate-删除的
cut_result1c2_20180613_math_3-4,00:07:30,45,angry-愤怒
cut_result1c2_20180613_math_3-4,00:07:40,46,Delate-删除的
cut_result1c2_20180613_math_3-4,00:07:50,47,angry-愤怒
cut_result1c2_20180613_math_3-4,00:08:00,48,surprised-惊讶
cut_result1c2_20180613_math_3-4,00:08:10,49,TS-师生互动
cut_result1c2_20180613_math_3-4,00:08:20,50,TS-师生互动
cut_result1c2_20180613_math_3-4,00:08:30,51,TS-师生互动
cut_result1c2_20180613_math_3-4,00:08:40,52,surprised-惊讶
cut_result1c2_20180613_math_3-4,00:08:50,53,TS-师生互动
cut_result1c2_20180613_math_3-4,00:09:00,54,surprised-惊讶
cut_result1c2_20180613_math_3-4,00:09:10,55,happy-喜悦
cut_result1c2_20180613_math_3-4,00:09:20,56,happy-喜悦
cut_result1c2_20180613_math_3-4,00:09:30,57,happy-喜悦
cut_result1c2_20180613_math_3-4,00:09:40,58,happy-喜悦
cut_result1c2_20180613_math_3-4,00:09:50,59,surprised-惊讶
