¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéÐ÷±êÇ©
"cut_result2c2_20180921_math_3,4",00:00:00,0,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:00:10,1,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:00:20,2,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:00:30,3,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:00:40,4,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:00:50,5,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:01:00,6,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:01:10,7,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:01:20,8,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:01:30,9,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:01:40,10,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:01:50,11,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:02:00,12,fear-¿Ö¾åµ£ÓÇ
"cut_result2c2_20180921_math_3,4",00:02:10,13,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:02:20,14,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:02:30,15,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:02:40,16,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:02:50,17,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:03:00,18,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:03:10,19,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:03:20,20,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:03:30,21,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:03:40,22,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:03:50,23,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:04:00,24,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:04:10,25,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:04:20,26,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:04:30,27,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:04:40,28,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:04:50,29,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:05:00,30,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:05:10,31,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:05:20,32,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:05:30,33,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:05:40,34,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:05:50,35,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:06:00,36,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:06:10,37,fear-¿Ö¾åµ£ÓÇ
"cut_result2c2_20180921_math_3,4",00:06:20,38,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:06:30,39,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:06:40,40,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:06:50,41,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:07:00,42,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:07:10,43,fear-¿Ö¾åµ£ÓÇ
"cut_result2c2_20180921_math_3,4",00:07:20,44,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:07:30,45,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:07:40,46,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:07:50,47,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:08:00,48,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:08:10,49,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:08:20,50,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:08:30,51,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:08:40,52,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:08:50,53,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:09:00,54,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:09:10,55,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:09:20,56,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:09:30,57,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:09:40,58,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:09:50,59,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:10:00,60,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:10:10,61,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:10:20,62,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:10:30,63,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:10:40,64,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:10:50,65,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:11:00,66,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:11:10,67,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:11:20,68,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:11:30,69,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:11:40,70,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:11:50,71,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:12:00,72,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:12:10,73,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:12:20,74,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:12:30,75,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:12:40,76,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:12:50,77,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:13:00,78,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:13:10,79,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:13:20,80,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:13:30,81,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:13:40,82,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:13:50,83,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:14:00,84,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:14:10,85,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:14:20,86,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:14:30,87,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:14:40,88,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:14:50,89,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:15:00,90,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:15:10,91,fear-¿Ö¾åµ£ÓÇ
"cut_result2c2_20180921_math_3,4",00:15:20,92,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:15:30,93,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:15:40,94,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:15:50,95,sad-±¯ÉË
"cut_result2c2_20180921_math_3,4",00:16:00,96,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:16:10,97,fear-¿Ö¾åµ£ÓÇ
"cut_result2c2_20180921_math_3,4",00:16:20,98,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:16:30,99,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:16:40,100,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:16:50,101,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:17:00,102,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:17:10,103,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:17:20,104,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:17:30,105,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:17:40,106,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:17:50,107,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:18:00,108,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:18:10,109,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:18:20,110,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:18:30,111,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:18:40,112,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:18:50,113,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:19:00,114,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:19:10,115,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:19:20,116,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:19:30,117,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:19:40,118,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:19:50,119,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:20:00,120,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:20:10,121,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:20:20,122,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:20:30,123,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:20:40,124,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:20:50,125,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:21:00,126,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:21:10,127,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:21:20,128,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:21:30,129,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:21:40,130,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:21:50,131,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:22:00,132,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:22:10,133,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:22:20,134,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:22:30,135,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:22:40,136,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:22:50,137,fear-¿Ö¾åµ£ÓÇ
"cut_result2c2_20180921_math_3,4",00:23:00,138,sad-±¯ÉË
"cut_result2c2_20180921_math_3,4",00:23:10,139,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:23:20,140,angry-·ßÅ­
"cut_result2c2_20180921_math_3,4",00:23:30,141,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:23:40,142,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:23:50,143,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:24:00,144,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:24:10,145,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:24:20,146,disgust-Ñá¶ñÃïÊÓ
"cut_result2c2_20180921_math_3,4",00:24:30,147,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:24:40,148,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:24:50,149,surprised-¾ªÑÈ
"cut_result2c2_20180921_math_3,4",00:25:00,150,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:25:10,151,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:25:20,152,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:25:30,153,fear-¿Ö¾åµ£ÓÇ
"cut_result2c2_20180921_math_3,4",00:25:40,154,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:25:50,155,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:26:00,156,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:26:10,157,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:26:20,158,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:26:30,159,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:26:40,160,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:26:50,161,TS-Ê¦Éú»¥¶¯
"cut_result2c2_20180921_math_3,4",00:27:00,162,happy-Ï²ÔÃ
"cut_result2c2_20180921_math_3,4",00:27:10,163,Delate-É¾³ýµÄ
"cut_result2c2_20180921_math_3,4",00:27:20,164,Delate-É¾³ýµÄ
