label,path,time,current_time
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-0.wav,10.0,0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-1.wav,10.0,10.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-2.wav,10.0,20.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-3.wav,10.0,30.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-4.wav,10.0,40.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-5.wav,10.0,50.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-6.wav,10.0,60.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-7.wav,10.0,70.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-8.wav,10.0,80.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-9.wav,10.0,90.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-10.wav,10.0,100.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-11.wav,10.0,110.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-12.wav,10.0,120.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-13.wav,10.0,130.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-14.wav,10.0,140.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-15.wav,10.0,150.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-16.wav,10.0,160.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-17.wav,10.0,170.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-18.wav,10.0,180.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-19.wav,10.0,190.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-20.wav,10.0,200.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-21.wav,10.0,210.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-22.wav,10.0,220.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-23.wav,10.0,230.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-24.wav,10.0,240.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-25.wav,10.0,250.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-26.wav,10.0,260.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result1c5_20180524_math_2\cut_result1c5_20180524_math_2-27.wav,10.0,270.0
