label,path,time,current_time
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-0.wav,10.0,0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-1.wav,10.0,10.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-2.wav,10.0,20.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-3.wav,10.0,30.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-4.wav,10.0,40.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-5.wav,10.0,50.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-6.wav,10.0,60.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-7.wav,10.0,70.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-8.wav,10.0,80.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-9.wav,10.0,90.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-10.wav,10.0,100.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-11.wav,10.0,110.0
