label,path,time,current_time
neutral-中性,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-0.wav,10.0,0
Delate-删除的,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-1.wav,10.0,10.0
neutral-中性,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-2.wav,10.0,20.0
neutral-中性,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-3.wav,10.0,30.0
neutral-中性,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-4.wav,10.0,40.0
Delate-删除的,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-5.wav,10.0,50.0
TS-师生互动,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-6.wav,10.0,60.0
Delate-删除的,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-7.wav,10.0,70.0
Delate-删除的,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-8.wav,10.0,80.0
TS-师生互动,C:/Users/lenovo/PycharmProjects/zhuzhipeng-data/wav_split/180319_0732/180319_0732-9.wav,10.0,90.0
